X,Y,OBJECTID,NAME,Type,Notes,LPA
-9965042.47894353,5321191.85804202,1,High Point Road,center,,1
-9963963.33052964,5321206.0656204,2,Westfield,center,,1
-9959991.65070677,5321242.0977954,3,Whitney Point,center,,1
-9959103.04149828,5323079.38053203,4,Eau Claire,center,,1
-9958282.88822803,5323143.48265919,5,Segoe,side,,1
-9957657.86584507,5323442.70163321,6,Midvale,center,,1
-9956828.32960358,5323432.14245735,7,Shorewood,center,,1
-9955719.34867479,5323163.82270396,8,University Bay,center,,1
-9951856.14092046,5323129.56036089,9,East Campus,side,,3
-9951861.0103869,5322948.19803124,10,East Campus,side,,3
-9950863.42640292,5323357.1615336,11,State Street,side,,3
-9950264.76852065,5323521.3356951,12,Mifflin and Pinckney,side,state,3
-9950137.83272914,5323176.63844383,13,Main and Carroll,side,state,3
-9949591.18023309,5323932.97540561,14,Blair,center,,3
-9948204.4934778,5325275.26850096,15,Baldwin,center,,3
-9947431.90747162,5326020.98694926,16,First,center,,3
-9946855.0778834,5326615.38910025,17,Fourth,center,,3
-9946262.54218494,5327246.95443002,18,Milwaukee-North,center,,3
-9945474.19986093,5327886.55660318,19,Marquette,center,,1
-9944821.68641495,5328605.18325089,20,Melvin-Rethke,center,,1
-9944158.50298301,5330276.71500051,21,Anderson,side,,1
-9943182.91043147,5330120.24763459,22,Mendota,side,,1
-9942437.88342552,5330819.7676458,23,Thierer-Portage,side,,1
-9952068.33421113,5322275.96802099,24,Regent - Park,center,,2
-9952046.60921936,5321093.34899472,25,Erin,center,,2
-9951293.91795011,5318691.9493993,26,Burr Oak,center,,2
-9952401.71006767,5317852.62183318,27,Badger - Fish Hatchery,side,,2
-9952977.70217687,5316749.42968473,28,Greenway,center,,2
-9953378.82966465,5316010.68846832,29,Post,center,,2
-9952737.20685555,5322971.44820505,30,Orchard,side,,1
-9952731.13110963,5323143.56713763,31,Orchard,side,,1
-9962769.43882985,5321224.36370132,32,Grand Canyon,center,,1
-9960697.75622651,5321238.32506826,33,Rosa,center,,1
-9961598.01578734,5321230.78174039,34,Island,center,,1
-9959579.15963376,5322336.7565623,35,Regent,center,,1
-9944222.33973573,5329210.58200491,36,Wright,center,Optional,1
-9949002.92014663,5324504.61953088,37,Paterson,center,,3
-9966159.97078579,5320829.85509021,38,Junction,terminal,,1
-9941748.89366723,5331478.09835295,39,Independence,side,,1
-9941160.30152088,5332035.24132424,40,East Springs,side,,1
-9946727.13942649,5328251.60571831,41,Commercial,side,,2
-9946894.984611,5329239.12575418,42,Aberg,side,,2
-9946956.5613286,5330070.48688387,43,Schlimgen,center,,2
-9947376.52936103,5331620.8600245,44,Dryden,center,,2
-9947891.98775044,5331886.45956558,45,Sherman,center,,2
-9948684.40621125,5332344.70499822,46,Troy-Northport,side,,2
-9950090.69427217,5332361.81554307,47,School,side,,2
-9950644.15564796,5333277.56944436,48,Kennedy,terminal,,2
-9951719.36536408,5333210.36889842,49,Murphy,side,,2
-9955136.8179623,5314290.11823906,50,McKee,terminal,,2
-9951649.79831582,5332506.48672358,51,Troy-Green,side,,2
-9950075.64569618,5333006.14085273,52,School,side,,2
-9952031.59203813,5321593.21942309,53,,center,,2
-9953916.14063578,5315193.45713944,54,High Ridge,center,,2
-9954556.39258715,5314755.43518346,55,Cahill Main,side,,2
-9951296.88006386,5319322.74192923,56,Plaenert - Wingra,center,,2
-9951389.96387752,5319869.13446732,57,Cedar,center,,2
-9951795.36768538,5320574.5686259,58,Fish Hatchery - Lakeside,center,,2
-9951337.71847724,5318036.82650679,59,Hughes,side,,2
-9946954.7888231,5331120.86889353,60,Elka,center,,2
